index	ox_code	ox_code_sam	population	phenotype	genotype
2152	AY0013-Ca	AY0013-C	CIcol	alive	119S
2154	AY0015-Ca	AY0015-C	CIcol	alive	119S
2175	AY0026-Cb	AY0026-C	CIcol	alive	119S
2179	AY0029-Cb	AY0029-C	CIcol	dead	119S
2211	AY0048-Cb	AY0048-C	CIcol	alive	119S
2218	AY0053-Ca	AY0053-C	CIcol	dead	119S
2233	AY0060-Cb	AY0060-C	CIcol	alive	119S
2239	AY0063-Cb	AY0063-C	CIcol	dead	119S
2270	AY0083-Ca	AY0083-C	CIcol	dead	119S
2271	AY0083-Cb	AY0083-C	CIcol	dead	119S
13	AA0049-Cb	AA0049-C	GHcol	alive	119S
76	AA0098-Ca	AA0098-C	GHcol	dead	119S
131	AA0140-Cb	AA0140-C	GHcol	dead	119S
186	AB0119-Ca	AB0119-C	BFgam	nan	119S
204	AB0133-Ca	AB0133-C	BFgam	nan	119S
206	AB0134-Ca	AB0134-C	BFgam	nan	119S
236	AB0153-Ca	AB0153-C	BFgam	nan	119S
243	AB0158-Cb	AB0158-C	BFgam	nan	119S
245	AB0159-Cb	AB0159-C	BFgam	nan	119S
246	AB0160-Ca	AB0160-C	BFgam	nan	119S
311	AB0197-Cb	AB0197-C	BFgam	nan	119S
365	AB0228-Cb	AB0228-C	BFgam	nan	119S
388	AB0241-Ca	AB0241-C	BFgam	nan	119S
389	AB0241-Cb	AB0241-C	BFgam	nan	119S
410	AB0253-Ca	AB0253-C	BFgam	nan	119S
467	AB0284-Cb	AB0284-C	BFgam	nan	119S
10	AA0048-Ca	AA0048-C	GHgam	alive	119S
58	AA0085-Ca	AA0085-C	GHgam	alive	119S
72	AA0096-Ca	AA0096-C	GHgam	alive	119S
73	AA0096-Cb	AA0096-C	GHgam	alive	119S
120	AA0133-Ca	AA0133-C	GHgam	alive	119S
2054	AV0001-Ca	AV0001-C	GNgam	nan	119S
2063	AV0005-Cb	AV0005-C	GNgam	nan	119S
2098	AV0026-Ca	AV0026-C	GNgam	nan	119S
2105	AV0029-Cb	AV0029-C	GNgam	nan	119S
2108	AV0031-Ca	AV0031-C	GNgam	nan	119S
2119	AV0036-Cb	AV0036-C	GNgam	nan	119S
